movies	recommendation
" 
 Jurassic Park (1993) 
 First Kid (1996) 
 101 Dalmatians (1996) 
 Homeward Bound: The Incredible Journey (1993)"	" 
 Terminator 2: Judgment Day (1991) 
 Fugitive, The (1993) 
 Braveheart (1995) 
 Forrest Gump (1994)"
" 
 Liar Liar (1997) 
 Anastasia (1997) 
 Murder at 1600 (1997) 
 Conspiracy Theory (1997)"	
" 
 Clockwork Orange, A (1971) 
 Postino, Il (1994) 
 Chasing Amy (1997) 
 Piano, The (1993)"	" 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999) 
 Fargo (1996) 
 Memento (2000)"
" 
 Toy Story (1995) 
  Pretty Woman (1990)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Hoop Dreams (1994) 
 One Flew Over the Cuckoo's Nest (1975) 
 Snow White and the Seven Dwarfs (1937) 
 Taxi Driver (1976)"	
" 
 Raising Arizona (1987) 
 Apocalypse Now (1979) 
 Annie Hall (1977) 
 Secrets & Lies (1996)"	
" 
 Some Like It Hot (1959) 
 Cop Land (1997) 
 This Is Spinal Tap (1984) 
 Raging Bull (1980)"	
" 
 Titanic (1997) 
 Rosewood (1997) 
 Soul Food (1997) 
 Eve's Bayou (1997)"	" 
 Matrix, The (1999)"
" 
 Toy Story (1995) 
 Star Wars (1977) 
 Godfather, The (1972) 
 Willy Wonka and the Chocolate Factory (1971)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
 Mission: Impossible (1996) 
 Truth About Cats & Dogs, The (1996) 
 Broken Arrow (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 2001: A Space Odyssey (1968) 
 Leaving Las Vegas (1995) 
 Clerks (1994) 
 Sex, Lies, and Videotape (1989)"	" 
 Alien (1979) 
 Terminator 2: Judgment Day (1991) 
 Blade Runner (1982) 
 Fargo (1996)"
" 
 Gabbeh (1996) 
 Pillow Book, The (1995) 
 Boot, Das (1981) 
 Grosse Pointe Blank (1997)"	
" 
 Toy Story (1995) 
  Return of the Pink Panther, The (1974)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Rosewood (1997) 
  Money Talks (1997)"	
